ID,M,Class
ANDN920101,,Physicochemical properties
ARGP820101,,Hydrophobicity
ARGP820102,,Hydrophobicity
ARGP820103,,Hydrophobicity
BEGF750101,1,Alpha propensity
BEGF750102,,Hydrophobicity
BEGF750103,,Alpha and turn propensities
BHAR880101,,Hydrophobicity
BIGC670101,,Physicochemical properties
BIOV880101,,Hydrophobicity
BIOV880102,,Hydrophobicity
BROC820101,,Hydrophobicity
BROC820102,,Hydrophobicity
BULH740101,,Hydrophobicity
BULH740102,,Physicochemical properties
BUNA790101,,Alpha and turn propensities
BUNA790102,,Physicochemical properties
BUNA790103,,Alpha and turn propensities
BURA740101,,Alpha and turn propensities
BURA740102,,Beta propensity
CHAM810101,,Other properties
CHAM820101,,Physicochemical properties
CHAM820102,,Hydrophobicity
CHAM830101,,Alpha and turn propensities
CHAM830102,,Alpha and turn propensities
CHAM830103,,Physicochemical properties
CHAM830104,,Other properties
CHAM830105,,Physicochemical properties
CHAM830106,,Physicochemical properties
CHAM830107,,Beta propensity
CHAM830108,,Composition
CHOC750101,,Physicochemical properties
CHOC760101,,Physicochemical properties
CHOC760102,,Hydrophobicity
CHOC760103,,Hydrophobicity
CHOC760104,,Hydrophobicity
CHOP780101,,Alpha and turn propensities
CHOP780201,,Alpha and turn propensities
CHOP780202,1,Beta propensity
CHOP780203,,Alpha and turn propensities
CHOP780204,,Hydrophobicity
CHOP780205,,Alpha and turn propensities
CHOP780206,,Other properties
CHOP780207,,Alpha and turn propensities
CHOP780208,,Beta propensity
CHOP780209,-1,Beta propensity
CHOP780210,,Alpha and turn propensities
CHOP780211,,Alpha and turn propensities
CHOP780212,,Alpha and turn propensities
CHOP780213,,Alpha and turn propensities
CHOP780214,,Other properties
CHOP780215,1,Turn propensity
CHOP780216,,Alpha and turn propensities
CIDH920101,,Hydrophobicity
CIDH920102,,Hydrophobicity
CIDH920103,,Hydrophobicity
CIDH920104,,Hydrophobicity
CIDH920105,,Hydrophobicity
COHE430101,,Physicochemical properties
CRAJ730101,,Alpha and turn propensities
CRAJ730102,,Beta propensity
CRAJ730103,1,Turn propensity
DAWD720101,,Physicochemical properties
DAYM780101,,Composition
DAYM780201,,Physicochemical properties
DESM900101,,Hydrophobicity
DESM900102,,Hydrophobicity
EISD840101,,Hydrophobicity
EISD860101,,Hydrophobicity
EISD860102,,Hydrophobicity
EISD860103,,Hydrophobicity
FASG760101,,Physicochemical properties
FASG760102,,Hydrophobicity
FASG760103,,Alpha and turn propensities
FASG760104,,Alpha and turn propensities
FASG760105,,Hydrophobicity
FAUJ830101,,Hydrophobicity
FAUJ880101,,Physicochemical properties
FAUJ880102,,Other properties
FAUJ880103,,Physicochemical properties
FAUJ880104,,Physicochemical properties
FAUJ880105,,Physicochemical properties
FAUJ880106,,Physicochemical properties
FAUJ880107,,Other properties
FAUJ880108,,Hydrophobicity
FAUJ880109,,Hydrophobicity
FAUJ880110,,Hydrophobicity
FAUJ880111,,Hydrophobicity
FAUJ880112,,Hydrophobicity
FAUJ880113,,Alpha and turn propensities
FINA770101,,Alpha and turn propensities
FINA910101,,Hydrophobicity
FINA910102,,Alpha and turn propensities
FINA910103,,Hydrophobicity
FINA910104,,Hydrophobicity
GARJ730101,,Physicochemical properties
GEIM800101,,Alpha and turn propensities
GEIM800102,,Alpha and turn propensities
GEIM800103,,Alpha and turn propensities
GEIM800104,,Alpha and turn propensities
